tag_id,name,creation_date
"f1e4a8a2-4e2b-4e09-87a4-cfb8ad60faaa","#Saludable","2023-11-22T13:20:00"
"e5c2a6b4-2c0a-4c75-83de-3ab6b8f4b121","#RecetasRápidas","2023-11-22T13:20:00"
"91d8f5e6-3341-4fd7-9a9f-1b17d5a42134","#Vegano","2023-11-22T13:20:00"
"ac98274f-8b39-49c3-99ba-93f74e3f64d3","#ComidaCasera","2023-11-22T13:20:00"
"7b47bdf1-3eb5-4708-98f2-4bf68c687fab","#PlatosDeInvierno","2023-11-22T13:20:00"
"ce0d7687-2d44-4d89-81e3-cf8e31f10d7e","#EnsaladasDeVerano","2023-11-22T13:20:00"
"2d524fa3-6d6c-4214-92c9-9d6f9a8b7c9f","#SinGluten","2023-11-22T13:20:00"
"8b23ecf0-67c8-4ecb-a4c2-7a2c8f4784b2","#ParaNiños","2023-11-22T13:20:00"
"ed5945d3-7e9a-4cf1-aea3-1c9b2b0c539e","#BajoEnCalorías","2023-11-22T13:20:00"
"3ae5f8a6-7cf3-4297-94b4-d523d2e3196e","#AltaProteína","2023-11-22T13:20:00"
"dd7c58af-befa-4d5d-9d6e-3f65f8b548d7","#CocinaMexicana","2023-11-22T13:20:00"
"7a5c49e9-85f8-49a2-b4a5-0f6a54e567d7","#Dulces","2023-11-22T13:20:00"
"9c7f4e87-327b-4f45-8f52-df4a5e73e8f3","#Postres","2023-11-22T13:20:00"
"ee3c5fa1-2a84-4fa3-a7f2-3c5d9b84c7a2","#Sopas","2023-11-22T13:20:00"
"7f4b3a29-648a-4d72-9a9c-8f7b2e549d8f","#SinLácteos","2023-11-22T13:20:00"
"bfe5a7d3-2c4a-4987-b4f5-9a1f4b6e85c7","#CenasLigeras","2023-11-22T13:20:00"
"6f2b4a98-2c6a-4b3a-9d8e-7a2f3c5e874f","#Aperitivos","2023-11-22T13:20:00"
"4f7d3a59-8a2b-4c5e-9f7a-3a1d2e6b8f49","#RecetasParaFiestas","2023-11-22T13:20:00"
"e9c2a6f8-4b5a-4d7a-8f3c-7e2d4f6b9a8f","#Desayunos","2023-11-22T13:20:00"
"7e4c5a8f-9b3a-4d2e-6f8b-3a1f2e7c9b4f","#Vegetariano","2023-11-22T13:20:00"
"3c6b9a8f-4e7d-2a5f-8b3a-1f2e7c4d5b8a","#PlatosPrincipales","2023-11-22T13:20:00"
"4d5b8f2e-9a7c-3a6f-2e7b-8a4f3c1d6b7a","#RecetasDeAbuela","2023-11-22T13:20:00"
"6b9a3f2e-4c7d-8f5a-3a1d-2e7b9a4f5c8b","#ParaCompartir","2023-11-22T13:20:00"
"7c9b8a4f-2d5e-3a6f-8b7a-4f3e1d2a5b9a","#RecetasInternacionales","2023-11-22T13:20:00"
"3e9a7b2f-6f4d-8a1c-5b3a-2e7c9f4b6a8f","#CocinaAsiática","2023-11-22T13:20:00"
"8a4f3c1d-2e7b-5f9a-6b3a-7c9f2e4b8a7d","#SinAzúcar","2023-11-22T13:20:00"
"4f8a7d3b-2e6c-1f9a-7c3a-8b5f9a4c6e7d","#RecetasDeNavidad","2023-11-22T13:20:00"
"6a8f3c7d-9b4e-5a2f-8a1d-3c7f9b2e5a6c","#Almuerzos","2023-11-22T13:20:00"
"5c7d8f9a-4b2e-3a6f-7c1a-9f3e5b8a2c7d","#RecetasDeTemporada","2023-11-22T13:20:00"
"7b9f4c2e-3a6d-8a1f-5c7a-6f2e9b8a3c5d","#Pastas","2023-11-22T13:20:00"
